62628.2 1.22799e+06 10 100000000
59475.9 605067 20 50000000
57633 341682 40 25000000
56428.8 166741 80 12500000
55372.7 75462.7 160 6250000
55072.7 45065.8 320 3125000
58986.2 27359.4 640 1562500
57579.1 12961 1280 781250
55391.9 7210.51 2560 390625
55405.3 3522.95 5120 195312
54865.6 3218.9 10240 97656
54907 3460.83 20480 48828
54844.9 3145.03 40960 24414
54821 2715.09 81920 12207
54914.4 2366.75 163840 6103
55457.2 2047.76 327680 3051
55484.2 1028.91 655360 1525
55649.6 5.24816 1310720 762
