37553.2 1.40805e+06 10 100000000
34967.7 614474 20 50000000
34968.2 417508 40 25000000
34629.8 218306 80 12500000
34529.8 110186 160 6250000
34551.8 27989.3 320 3125000
34501.8 12916.8 640 1562500
34563.1 6671.62 1280 781250
34588.3 6620.74 2560 390625
34674.9 3418.75 5120 195312
34678.5 1748.48 10240 97656
34855.2 1114.73 20480 48828
34822.7 325.644 40960 24414
34739.3 172.658 81920 12207
34755.8 85.6942 163840 6103
34836.7 34.6697 327680 3051
35126.4 8.79524 655360 1525
34892.2 4.46039 1310720 762
